0.45299256;0.418146979;0.45299256;0.494173702;0.543591072;0.60399008;0.67948884;0.776558675;0.679533279;0.639560733;0.604029581;0.572238551;0.543626623;0.604029581;0.679533279;0.776609462;0.724835498;0.679533279;0.604029581;0.572238551;0.543626623;0.517739641;0.494497608;0.472997712
Generationen: 10;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.6;RouletteWheel-S.;T-Size: ---;Reinsertion-Rate: 0.2;Generation-Gap: 0.2;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
64;31309;32406;517;28;33;14;;;;;;;;;;;;;;;;;
66;30895;32310;601;29;33;14;;;;;;;;;;;;;;;;;
73;30754;32060;602;35;33;15;;;;;;;;;;;;;;;;;
75;30754;32055;741;35;32;15;;;;;;;;;;;;;;;;;
90;30588;31532;419;30;29;14;;;;;;;;;;;;;;;;;
92;30493;31452;375;28;29;15;;;;;;;;;;;;;;;;;
98;30220;31351;514;28;28;20;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.5;Mutation: Exchange;M-Rate: 0.5;Selection: Tournament;T-Size: 3;Reinsertion-Rate: 0.2;Generation-Gap: 0.4;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
13;34979;36286;633;38;37;8;;;;;;;;;;;;;;;;;
19;33794;35577;681;33;30;2;;;;;;;;;;;;;;;;;
28;32957;34758;599;34;28;2;;;;;;;;;;;;;;;;;
43;32912;33641;411;26;28;5;;;;;;;;;;;;;;;;;
50;32235;33308;424;21;21;4;;;;;;;;;;;;;;;;;
79;32005;32725;338;12;15;3;;;;;;;;;;;;;;;;;
106;31953;32497;305;11;16;3;;;;;;;;;;;;;;;;;
451;31888;32118;127;8;9;2;;;;;;;;;;;;;;;;;
502;31579;32034;152;5;6;3;;;;;;;;;;;;;;;;;
6333;31529;31667;71;4;4;2;;;;;;;;;;;;;;;;;
6347;31504;31640;71;4;4;3;;;;;;;;;;;;;;;;;
6520;31471;31611;70;5;4;2;;;;;;;;;;;;;;;;;
6563;31202;31581;127;3;4;2;;;;;;;;;;;;;;;;;
49999;31202;31448;109;4;4;2;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 16:45:55 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.5;Mutation: Exchange;M-Rate: 0.5;Selection: Tournament;T-Size: 3;Reinsertion-Rate: 0.5;Generation-Gap: 0.5;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
2;36280;37345;705;44;42;20;;;;;;;;;;;;;;;;;
4;35893;36842;879;36;39;17;;;;;;;;;;;;;;;;;
7;34268;36458;739;40;38;5;;;;;;;;;;;;;;;;;
8;34164;36142;717;37;37;3;;;;;;;;;;;;;;;;;
12;33486;35129;802;27;30;6;;;;;;;;;;;;;;;;;
14;33356;34656;749;21;25;3;;;;;;;;;;;;;;;;;
16;33332;34122;569;20;16;3;;;;;;;;;;;;;;;;;
17;33175;33902;526;15;15;3;;;;;;;;;;;;;;;;;
