1.108336979;1.023080288;1.108336979;1.209094886;1.330004375;1.477782638;1.662505468;1.900006249;1.662505468;1.564711029;1.477782638;1.400004605;1.330004375;1.477782638;1.662505468;1.900006249;1.773339166;1.662505468;1.477782638;1.400004605;1.330004375;1.266670833;1.209094886;1.156525543
Generationen: 5000;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.5;Selection: Tournament;T-Size: 3;Reinsertion-Rate: 0.2;Generation-Gap: 0.4;Selection-Pressure: 1.2;GPS Frequenz: 8;;;;;;;;;;;;;
Iteration;total duration;relative totalduration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;time;;;;;;;;;;;;;;;
0;31410;31410;33049;997;36;36;12;08:00:01;;;;;;;;;;;;;;;
12;25390;25390;29637;1483;26;28;3;08:00:01;;;;;;;;;;;;;;;
20;24370;24370;27404;1571;16;17;3;08:00:01;;;;;;;;;;;;;;;
30;23638;23638;25384;640;11;12;4;08:00:01;;;;;;;;;;;;;;;
46;22779;22779;24387;613;14;16;4;08:00:01;;;;;;;;;;;;;;;
73;22346;22346;23422;620;16;16;3;08:00:01;;;;;;;;;;;;;;;
82;22272;22272;23037;458;10;12;4;08:00:01;;;;;;;;;;;;;;;
85;22269;22269;22765;387;9;12;4;08:00:01;;;;;;;;;;;;;;;
435;22119;22119;22271;35;6;5;2;08:00:02;;;;;;;;;;;;;;;
446;22115;22115;22286;154;5;5;2;08:00:02;;;;;;;;;;;;;;;
470;22040;22040;22265;167;5;5;2;08:00:02;;;;;;;;;;;;;;;
486;22008;22008;22208;98;5;5;3;08:00:02;;;;;;;;;;;;;;;
2500;22008;22008;22093;68;3;3;2;08:00:07;;;;;;;;;;;;;;;
4999;22008;22008;22115;137;3;4;2;08:00:13;;;;;;;;;;;;;;;
0.381516248;0.352168844;0.381516248;0.416199543;0.457819498;0.508688331;0.572274372;0.654027854;0.572274372;0.538611174;0.508688331;0.481915261;0.457819498;0.508688331;0.572274372;0.654027854;0.610425997;0.572274372;0.508688331;0.481915261;0.457819498;0.436018569;0.416199543;0.398103911
Generationen: 250000;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.5;Selection: Tournament;T-Size: 3;Reinsertion-Rate: 0.2;Generation-Gap: 0.4;Selection-Pressure: 1.2;GPS Frequenz: 8;;;;;;;;;;;;;
Iteration;total duration;relative totalduration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;time;;;;;;;;;;;;;;;
0;0;0;0;0;38;37;21;08:00:00;;;;;;;;;;;;;;;
0.798532894;1.228021653;1.330356791;1.451298317;1.596428149;1.773809054;1.995535186;2.280611641;1.995535186;1.878150764;1.773809054;1.680450683;1.596428149;1.773809054;1.995535186;2.280611641;2.128570865;1.995535186;1.773809054;1.680450683;1.596428149;1.520407761;1.451298317;1.38819839
