static initial tour;19682;20039;19743;08:05:00
static initial tour;19829;19807;19213;08:10:00
static initial tour;19612;19745;18847;08:15:00
static initial tour;19590;19739;18541;08:20:00
static initial tour;19551;19675;18181;08:25:00
static initial tour;19564;19573;17778;08:30:00
static initial tour;19511;19369;17276;08:35:00
"static initial tour","19712","-","-","8:0:0"
